y_true,y_pred,y_diff
7410414.436905311,5623060.906763046,1787353.5301422654
2718394.7537429086,3576731.92113329,858337.1673903815
-2965018.4469077196,-3765523.3619262613,800504.9150185417
4842657.318560673,4636900.369115838,205756.94944483507
2800313.072205193,5501631.264940122,2701318.1927349293
-304885.65580567275,-4173250.936456016,3868365.280650343
4510537.606158223,4185210.7630345384,325326.84312368464
-3704800.7764973883,-5074929.855785318,1370129.0792879295
3392830.1850896296,4891399.985122847,1498569.8000332178
-5076835.591756221,-4896860.875565089,179974.71619113162
-7083365.82023165,-4842917.490973726,2240448.329257924
1856732.5824224877,3031934.6071919724,1175202.0247694848
-6391392.114313396,-5368289.447170141,1023102.6671432545
-5576396.247023077,-5677362.413511618,100966.16648854129
-1730138.6092167827,-3007646.893793072,1277508.2845762894
4915935.939596139,3127875.890435826,1788060.0491603129
-3545576.5321127996,-2640934.447351637,904642.0847611628
-7159671.777624452,-5486032.989446586,1673638.7881778656
-7014391.192538479,-5703378.53972382,1311012.6528146593
2060898.2935399155,2918442.2748879422,857543.9813480268
5947770.144475221,5731592.26690638,216177.87756884098
6761067.56797386,5554524.866519439,1206542.7014544206
7311704.600722084,5717933.038540731,1593771.5621813526
362217.6296251026,5113779.2666875785,4751561.637062476
2637276.2152146897,-353974.8773027169,2991251.0925174067
-6531698.992874012,-5384182.476606924,1147516.5162670882
-4887375.758951775,-5218449.276112262,331073.51716048736
-5654770.560902665,-5146235.202660462,508535.3582422035
2263373.3650618363,4973306.168815706,2709932.8037538696
2432354.8549601045,4500406.228147877,2068051.373187773
7325048.724844575,5570534.09986771,1754514.624976865
1493384.267284825,551856.3158972719,941527.9513875531
7627832.588184671,5073839.868008886,2553992.720175784
3204700.7594656283,4519005.943910962,1314305.1844453337
4559965.211002693,2124322.3389041494,2435642.872098543
-7630703.323916116,-5716079.843684321,1914623.4802317945
953684.0390909964,4012358.0493875826,3058674.010296586
-7486286.445436857,-5712932.245112842,1773354.2003240148
1854039.054807164,3114919.015937362,1260879.9611301979
-7271219.722346689,-5397053.066825901,1874166.6555207875
-7551601.690196918,-5753005.313872342,1798596.3763245763
4915995.563177269,5648143.696214903,732148.1330376342
7117339.72260532,5525073.208001888,1592266.5146034313
5620348.425003352,5622352.886930254,2004.4619269026443
-147204.86262879014,-3958641.3032903187,3811436.4406615286
168501.46184459227,-3546176.5665237657,3714678.028368358
754865.2395565342,-1152374.6284276994,1907239.8679842337
-6254676.779323345,-4457906.676029676,1796770.1032936694
-6182036.3586402,-5713425.895571482,468610.4630687181
-7450692.634320205,-5751449.246298564,1699243.3880216414
-7642757.767237003,-5742395.170258154,1900362.5969788488
-7395513.518256318,-5730278.69996887,1665234.818287448
